PROBE_ID_REF,GENE_IDENTIFIER,GSM12587,GSM12588,GSM12589,GSM12590,GSM12591,GSM12592,GSM12593,GSM12594,GSM12595,GSM12596,GSM12597,GSM12598,GSM12599,GSM12600,GSM12601,GSM12602,GSM12603,GSM12604,GSM12605,GSM12606
AF007875_at,DPM1,333.9,302.6,358.2,268.1,333,370,268.2,404.3,258.9,313.8,282.6,317.7,183.6,245,334.3,203.4,187.1,290.1,355.7,372.1
AF008445_at,PLSCR1,1176.6,635.6,555.9,798.2,359.5,494.8,516.9,678.3,305.7,343.8,853.7,806.2,665.8,447.5,363.5,280.2,508.9,302.8,421.9,517.2
AF008937_at,STX16,28.5,135.8,52.7,175.6,228.1,209.6,165.8,182.2,69.6,435.7,604.6,51.2,70.1,360.9,303.6,314.5,378.5,329.4,232.5,348.7
AF009301_at,Mar-06,46.7,117.9,31.6,134.5,151,320.5,233.5,146.7,31.3,239.1,69.6,31,59.5,101.4,228.8,194.7,178.2,204.7,211.6,182.3
AF009368_at,CREB3,297.6,229.1,250.1,264.4,232.5,339.2,243.9,210.2,323.8,252.6,379,276.7,331.5,240.9,221.2,259.1,226.9,464.4,238.1,313.8
AF009426_at,LDLRAD4,16.4,23.1,34.8,24.3,35.2,74.8,24.8,24.2,42.1,27.7,26.4,23.1,13.4,20.1,29.8,46.3,60,54.3,56.7,46.1
AF009674_at,AXIN1,919.4,570.7,994.6,920,1060.1,887,877.2,864.2,1214.6,667.6,1026.1,1004.2,542.7,599.3,558.7,881.3,629.9,798.4,875.9,773.1
AF010193_at,SMAD7,104.3,109.6,132.2,295.8,211.1,163.1,120.7,200.5,263.3,99.1,140.7,126.4,71.7,164.7,68.6,105.1,128,144.7,210.5,162.4
AF012024_s_at,ITGB1BP1,57.8,52.3,48,75.3,79.4,105.6,49.4,63.2,120.9,70.6,169,68.4,93.4,29.8,102.3,58.5,49.8,49.6,99,51
AF012270_at,RRH,12.2,7.3,9.3,10.5,5.3,6.8,5.5,6.6,5.1,5.2,2.7,6.7,10.4,4.8,7.7,14,15,30,8.2,8
AF014958_at,CCRL2,288.3,69.9,888.1,157.8,96.9,91.6,135.8,153.4,101.6,82.9,143.3,168.1,103.1,166.2,60,119.1,139.5,182.3,103.4,165.3
AF015910_at,AKAP1,95.4,38,59.2,123.9,80.8,88.9,73.5,89.5,28.5,37,67.4,173.7,112.7,61.7,92.4,75.8,138,103,107.5,59.9
AF015913_at,PRMT5,508.8,175.2,259.4,439.5,407.7,505.1,417.7,495.4,413,232,457.1,419.1,217.1,378,360.7,331.4,364.1,405.6,398,406.5
AF015950_at,TERT,126,15.5,63.4,29.6,98.3,48.8,32,85.5,77.8,64.8,24.5,114.5,82.8,45.1,55.1,28.3,169.6,67.1,26.7,18.9
AFFX-BioB-3_at,#NAME?,226.3,277.7,173.2,75.6,62.8,86,99.5,111.7,183.1,163,124.8,292.4,235,125.2,136.4,103.1,184.3,154.3,128.5,240.2
AFFX-BioB-3_st,#NAME?,9.6,11.7,20.1,13.1,16.7,14.2,12.6,8,13.9,11.6,7.5,20,11.9,6.8,14.3,4.9,13.5,17,12.1,29.6
AFFX-BioB-5_at,#NAME?,141.3,273.1,102.1,154.4,106.2,97.7,117.9,83.1,138.4,162.5,126.2,298.1,174,82.9,119.8,164.9,30.4,132.6,98.7,135.2
AFFX-BioB-5_st,#NAME?,83.5,27.9,67.8,17.9,50.4,11.3,13.1,39.3,47.3,16.8,11.3,21.5,31.3,11.3,69.7,18.8,262.7,24.2,52.8,73.1
AFFX-BioB-M_at,#NAME?,307.9,457.9,260.3,195.1,88.1,149.6,146.6,132.7,215.3,269.1,212.7,494.3,398.6,148.9,261.2,118.8,178.6,226.6,166.3,279.8
AFFX-BioB-M_st,#NAME?,23.2,13.3,32.5,23.1,14.9,11.9,15.9,11.5,45.8,10.3,7.8,22.6,21.9,12.5,17.8,10.1,68.2,15.8,19.9,22.1
AFFX-BioC-3_at,#NAME?,1388,653.8,1138,707,575.7,608.1,585.2,577.7,997.2,309.4,319.9,1527.6,1109.8,233.1,791.7,730.6,328,347.9,534.1,495.7
AFFX-BioC-3_st,#NAME?,30.9,2.3,5.2,4.7,3.7,6.3,6.1,24.5,21.3,3.3,5.1,12.5,8.3,10.6,5.1,4.6,16.7,11.5,3.5,22.8
AFFX-BioC-5_at,#NAME?,1714.6,951.1,1416.7,987.6,704.4,652.5,732.2,707,1212.3,501.1,526.4,2276.8,1643.2,333.9,1113.7,872,372.3,659.9,697.7,782.7
AFFX-BioC-5_st,#NAME?,21.8,15.2,17.5,26.6,16.7,23.4,15.3,15.1,48.2,49,17,11.1,56.5,20.4,17.4,53.9,24.8,21.2,10.7,41.4
AFFX-BioDn-3_at,#NAME?,3049.6,6034.3,2776,1663.8,1477.4,1502.2,1616.8,1441.5,2272,3572.4,3463.3,3959.7,2873.5,2628,1785.2,1826.3,4072.7,3970.2,1408.5,5612.6
AFFX-BioDn-3_st,#NAME?,54.5,37.9,81.5,23.1,14.7,45.8,49.5,61.5,83.4,26.7,69.2,41.5,32.4,103.6,89.5,48.9,124.1,134,87.1,239.2
